fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,6
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.88,9.2,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
8.1,0.27,0.41,1.45,0.066,11,28,0.995,3.39,0.7,10.4,7
8.9,0.66,0.12,0.9,0.068,24,57,0.9966,3.43,0.71,11.2,6
8.4,0.59,0.16,1.5,0.074,12,44,0.9965,3.37,0.62,10.3,6
8.5,0.58,0.14,1.5,0.073,12,46,0.9965,3.37,0.62,10.3,6
8.1,0.46,0.24,2.1,0.084,9,28,0.9967,3.39,0.66,10.6,6
8.6,0.58,0.19,1.4,0.093,15,53,0.9966,3.35,0.64,10.4,6
8.2,0.52,0.26,2.2,0.098,10,36,0.9969,3.39,0.64,10.5,6
8.7,0.54,0.2,1.4,0.093,13,58,0.9966,3.37,0.67,10.7,6
8.1,0.5,0.36,2.1,0.085,10,34,0.9967,3.4,0.66,10.8,6
8.1,0.5,0.36,2.1,0.085,10,34,0.9967,3.4,0.66,10.8,6
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.56,0.23,2,0.079,20,68,0.9969,3.31,0.73,11.1,7
9.2,0.47,0.33,2.3,0.089,15,53,0.9971,3.31,0.73,10.9,7
9.2,0.48,0.31,2.3,0.089,14,55,0.9971,3.31,0.74,10.9,7
9.2,0.46,0.35,2.2,0.089,14,56,0.9971,3.3,0.74,10.8,7
9.2,0.46,0.35,2.2,0.089,14,56,0.9971,3.3,0.74,10.8,7
9.2,0.44,0.38,2.2,0.093,15,58,0.9971,3.31,0.74,10.9,7
9.2,0.58,0.18,2.2,0.089,15,56,0.9971,3.32,0.74,10.9,7
9.2,0.58,0.18,2.2,0.089,15,56,0.9971,3.32,0.74,10.9,7
9.2,0.44,0.38,2.2,0.089,14,56,0.9971,3.31,0.74,10.8,7
9.2,0.48,0.31,2.2,0.089,14,56,0.9971,3.31,0.74,10.8,7
9.2,0.44,0.38,2.2,0.089,14,56,0.9971,3.31,0.74,10.8,7
9.2,0.44,0.38,2.2,0.089,14,56,0.9971,3.31,0.74,10.8,7
8.9,0.44,0.38,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.9,0.47,0.33,1.9,0.091,14,45,0.9967,3.38,0.65,10.9,7
8.5,0.49,0.3,2.1,0.093,14,45,0.9967,3.38,0.68,10.9,7
